Algorithm Performed: A*
Time Elapsed: 5.74 sec
Expanded Nodes: 4838
Memory Usage at peak: 665.0480 KB
Solution Steps: 49 steps

01: 5 4 0
02: 2 3 0
03: 8 2 3
04: 8 3 3
05: 10 1 5
06: 1 0 2
07: 10 0 5
08: 0 2 2
09: 6 1 1
10: 1 0 1
11: 9 0 4
12: 11 3 5
13: 3 5 4
14: 8 4 3
15: 2 3 1
16: 2 3 2
17: 6 2 1
18: 6 3 1
19: 1 0 0
20: 6 4 1
21: 2 3 1
22: 2 3 0
23: 8 3 3
24: 0 2 1
25: 8 2 3
26: 8 1 3
27: 8 0 3
28: 2 3 1
29: 3 5 3
30: 11 4 5
31: 2 3 2
32: 2 3 3
33: 7 3 2
34: 5 3 0
35: 3 5 2
36: 6 3 1
37: 3 5 1
38: 3 5 0
39: 0 2 2
40: 6 2 1
41: 6 1 1
42: 7 4 2
43: 2 3 2
44: 2 3 1
45: 9 1 4
46: 9 2 4
47: 9 3 4
48: 0 2 3
49: 0 2 4
