Algorithm Performed: DFS
Time Elapsed: 1.17 sec
Expanded Nodes: 3627
Memory Usage at peak: 3.7940 MB
Solution Steps: 2850 steps

0001: 1 0 1
0002: 10 1 5
0003: 1 0 0
0004: 3 3 4
0005: 1 0 1
0006: 2 3 2
0007: 1 0 0
0008: 10 0 5
0009: 1 0 1
0010: 2 3 1
0011: 1 0 0
0012: 8 3 3
0013: 1 0 1
0014: 5 5 1
0015: 1 0 0
0016: 5 5 2
0017: 1 0 1
0018: 6 4 0
0019: 1 0 0
0020: 2 3 0
0021: 1 0 1
0022: 5 5 1
0023: 1 0 0
0024: 2 3 1
0025: 1 0 1
0026: 8 2 3
0027: 1 0 0
0028: 2 3 0
0029: 1 0 1
0030: 4 4 2
0031: 1 0 0
0032: 2 3 1
0033: 1 0 1
0034: 4 4 3
0035: 1 0 0
0036: 2 3 0
0037: 1 0 1
0038: 5 5 2
0039: 1 0 0
0040: 2 3 1
0041: 1 0 1
0042: 4 4 2
0043: 1 0 0
0044: 2 3 0
0045: 1 0 1
0046: 4 4 1
0047: 1 0 0
0048: 2 3 1
0049: 1 0 1
0050: 6 3 0
0051: 1 0 0
0052: 4 4 2
0053: 1 0 1
0054: 4 4 3
0055: 1 0 0
0056: 5 5 1
0057: 1 0 1
0058: 4 4 2
0059: 1 0 0
0060: 4 4 1
0061: 1 0 1
0062: 5 5 0
0063: 1 0 0
0064: 4 4 2
0065: 1 0 1
0066: 4 4 3
0067: 1 0 0
0068: 8 1 3
0069: 1 0 1
0070: 2 3 2
0071: 1 0 0
0072: 4 4 2
0073: 1 0 1
0074: 2 3 1
0075: 1 0 0
0076: 3 3 3
0077: 1 0 1
0078: 4 4 1
0079: 1 0 0
0080: 3 3 4
0081: 1 0 1
0082: 2 3 2
0083: 1 0 0
0084: 5 5 1
0085: 1 0 1
0086: 2 3 1
0087: 1 0 0
0088: 3 3 3
0089: 1 0 1
0090: 4 4 2
0091: 1 0 0
0092: 3 3 4
0093: 1 0 1
0094: 2 3 2
0095: 1 0 0
0096: 4 4 3
0097: 1 0 1
0098: 2 3 1
0099: 1 0 0
0100: 3 3 3
0101: 1 0 1
0102: 5 5 0
0103: 1 0 0
0104: 8 0 3
0105: 3 3 4
0106: 2 3 2
0107: 4 4 2
0108: 2 3 1
0109: 3 3 3
0110: 4 4 1
0111: 3 3 4
0112: 2 3 2
0113: 5 5 1
0114: 2 3 1
0115: 3 3 3
0116: 4 4 2
0117: 3 3 4
0118: 2 3 2
0119: 4 4 3
0120: 2 3 1
0121: 3 3 3
0122: 5 5 2
0123: 3 3 4
0124: 2 3 2
0125: 4 4 2
0126: 2 3 1
0127: 3 3 3
0128: 4 4 1
0129: 3 3 4
0130: 2 3 2
0131: 6 4 0
0132: 2 3 1
0133: 2 3 0
0134: 3 3 3
0135: 2 3 1
0136: 4 4 2
0137: 2 3 0
0138: 3 3 2
0139: 4 4 1
0140: 5 5 1
0141: 3 3 3
0142: 2 3 1
0143: 3 3 4
0144: 2 3 0
0145: 4 4 2
0146: 2 3 1
0147: 2 3 2
0148: 4 4 1
0149: 8 1 3
0150: 1 0 1
0151: 2 3 1
0152: 1 0 0
0153: 2 3 0
0154: 1 0 1
0155: 3 3 3
0156: 1 0 0
0157: 2 3 1
0158: 1 0 1
0159: 4 4 2
0160: 1 0 0
0161: 2 3 0
0162: 1 0 1
0163: 3 3 2
0164: 1 0 0
0165: 4 4 1
0166: 1 0 1
0167: 5 5 2
0168: 1 0 0
0169: 3 3 3
0170: 1 0 1
0171: 2 3 1
0172: 1 0 0
0173: 3 3 4
0174: 1 0 1
0175: 2 3 0
0176: 1 0 0
0177: 4 4 2
0178: 1 0 1
0179: 2 3 1
0180: 1 0 0
0181: 2 3 2
0182: 1 0 1
0183: 4 4 1
0184: 1 0 0
0185: 6 3 0
0186: 1 0 1
0187: 2 3 1
0188: 1 0 0
0189: 3 3 3
0190: 1 0 1
0191: 4 4 2
0192: 1 0 0
0193: 3 3 4
0194: 1 0 1
0195: 2 3 2
0196: 1 0 0
0197: 4 4 3
0198: 1 0 1
0199: 2 3 1
0200: 1 0 0
0201: 3 3 3
0202: 1 0 1
0203: 6 4 0
0204: 1 0 0
0205: 2 3 0
0206: 1 0 1
0207: 3 3 2
0208: 1 0 0
0209: 4 4 2
0210: 1 0 1
0211: 3 3 3
0212: 1 0 0
0213: 2 3 1
0214: 1 0 1
0215: 10 1 5
0216: 1 0 0
0217: 2 3 0
0218: 1 0 1
0219: 3 3 2
0220: 1 0 0
0221: 4 4 1
0222: 1 0 1
0223: 3 3 3
0224: 1 0 0
0225: 2 3 1
0226: 1 0 1
0227: 3 3 4
0228: 1 0 0
0229: 2 3 0
0230: 1 0 1
0231: 4 4 2
0232: 1 0 0
0233: 2 3 1
0234: 1 0 1
0235: 2 3 2
0236: 1 0 0
0237: 4 4 1
0238: 1 0 1
0239: 5 5 1
0240: 1 0 0
0241: 2 3 1
0242: 1 0 1
0243: 2 3 0
0244: 1 0 0
0245: 3 3 3
0246: 1 0 1
0247: 2 3 1
0248: 1 0 0
0249: 4 4 2
0250: 1 0 1
0251: 2 3 0
0252: 1 0 0
0253: 3 3 2
0254: 1 0 1
0255: 4 4 1
0256: 1 0 0
0257: 8 0 3
0258: 3 3 3
0259: 2 3 1
0260: 3 3 4
0261: 2 3 0
0262: 4 4 2
0263: 2 3 1
0264: 2 3 2
0265: 4 4 1
0266: 5 5 2
0267: 2 3 1
0268: 2 3 0
0269: 3 3 3
0270: 2 3 1
0271: 4 4 2
0272: 2 3 0
0273: 3 3 2
0274: 4 4 1
0275: 9 1 4
0276: 4 4 2
0277: 4 4 3
0278: 5 5 1
0279: 4 4 2
0280: 4 4 1
0281: 8 1 3
0282: 1 0 1
0283: 1 0 2
0284: 1 0 3
0285: 4 4 2
0286: 1 0 2
0287: 1 0 1
0288: 1 0 0
0289: 4 4 3
0290: 1 0 1
0291: 1 0 2
0292: 1 0 3
0293: 5 5 2
0294: 1 0 2
0295: 1 0 1
0296: 1 0 0
0297: 4 4 2
0298: 1 0 1
0299: 1 0 2
0300: 1 0 3
0301: 4 4 1
0302: 1 0 2
0303: 1 0 1
0304: 1 0 0
0305: 9 2 4
0306: 1 0 1
0307: 1 0 2
0308: 1 0 3
0309: 4 4 2
0310: 1 0 2
0311: 1 0 1
0312: 1 0 0
0313: 5 5 1
0314: 1 0 1
0315: 1 0 2
0316: 1 0 3
0317: 4 4 1
0318: 1 0 2
0319: 1 0 1
0320: 1 0 0
0321: 8 0 3
0322: 4 4 2
0323: 5 5 2
0324: 4 4 1
0325: 10 0 5
0326: 4 4 2
0327: 5 5 1
0328: 4 4 1
0329: 8 1 3
0330: 1 0 1
0331: 1 0 2
0332: 4 4 2
0333: 1 0 1
0334: 1 0 0
0335: 5 5 2
0336: 1 0 1
0337: 1 0 2
0338: 4 4 1
0339: 1 0 1
0340: 1 0 0
0341: 9 1 4
0342: 1 0 1
0343: 1 0 2
0344: 4 4 2
0345: 1 0 1
0346: 1 0 0
0347: 4 4 3
0348: 1 0 1
0349: 1 0 2
0350: 5 5 1
