Algorithm Performed: IDS
Time Elapsed: 645.02 sec
Expanded Nodes: 33135
Memory Usage at peak: 482.8280 KB
Solution Steps: 81 steps

01: 5 5 4
02: 10 4 3
03: 2 3 1
04: 2 3 2
05: 6 1 0
06: 1 0 0
07: 6 2 0
08: 7 2 1
09: 7 3 1
10: 8 0 2
11: 0 2 2
12: 0 2 1
13: 11 1 4
14: 12 0 5
15: 2 3 3
16: 9 3 2
17: 4 5 1
18: 6 3 0
19: 0 2 0
20: 8 1 2
21: 1 0 1
22: 1 0 2
23: 1 0 3
24: 8 0 2
25: 0 2 1
26: 0 2 2
27: 6 2 0
28: 4 5 0
29: 6 1 0
30: 6 0 0
31: 7 2 1
32: 7 1 1
33: 7 0 1
34: 0 2 1
35: 9 4 2
36: 2 3 2
37: 2 3 1
38: 2 3 0
39: 10 3 3
40: 5 5 3
41: 10 2 3
42: 3 4 3
43: 10 1 3
44: 2 3 1
45: 2 3 2
46: 6 1 0
47: 6 2 0
48: 12 1 5
49: 1 0 4
50: 10 0 3
51: 0 2 2
52: 7 1 1
53: 7 2 1
54: 7 3 1
55: 0 2 1
56: 10 1 3
57: 1 0 3
58: 12 0 5
59: 2 3 3
60: 9 3 2
61: 4 5 1
62: 6 3 0
63: 0 2 0
64: 8 1 2
65: 1 0 2
66: 1 0 1
67: 1 0 0
68: 8 0 2
69: 0 2 1
70: 6 2 0
71: 4 5 0
72: 9 4 2
73: 2 3 2
74: 10 0 3
75: 0 2 2
76: 11 0 4
77: 0 2 3
78: 12 1 5
79: 12 2 5
80: 12 3 5
81: 0 2 4
